,precision,recall,f1-score,support
Cause-Effect,0.8905325443786982,0.9176829268292683,0.903903903903904,328.0
Component-Whole,0.805111821086262,0.8076923076923077,0.8064,312.0
Content-Container,0.7981651376146789,0.90625,0.848780487804878,192.0
Entity-Destination,0.8717948717948718,0.9315068493150684,0.9006622516556291,292.0
Entity-Origin,0.7785234899328859,0.8992248062015504,0.8345323741007195,258.0
Instrument-Agency,0.7450980392156863,0.7307692307692307,0.7378640776699028,156.0
Member-Collection,0.7808764940239044,0.8412017167381974,0.8099173553719009,233.0
Message-Topic,0.7882736156351792,0.9272030651340997,0.8521126760563381,261.0
Other,0.6038338658146964,0.41629955947136565,0.4928292046936115,454.0
Product-Producer,0.8177570093457944,0.7575757575757576,0.7865168539325843,231.0
accuracy,0.7902097902097902,0.7902097902097902,0.7902097902097902,0.7902097902097902
macro avg,0.7879966888842657,0.8135406219726846,0.7973519185189468,2717.0
weighted avg,0.7798755271507846,0.7902097902097902,0.7806384485456883,2717.0
